listing_id,description,room_type,host_name,last_review,price,nbhood_full,last_review_year,review_month
18729143,Private Bedroom in Trendy Williamsburg Loft,Private Room,Sam,2019-06-22,52,"Brooklyn, Williamsburg",2019,June
18729985,Bright  and cozy room 20 min away from Manhattan,Private Room,Suri,2019-03-23,150,"Brooklyn, Sunset Park",2019,March
18731029,Upper WestSide Manhattan Comfort 3,Private Room,Felipe,2019-04-26,40,"Manhattan, Upper West Side",2019,April
18731641,The Omaric,Entire Home/Apt,Desmond,2019-07-02,95,"Manhattan, Harlem",2019,July
18732648,Large Private Bedroom in Cool Williamsburg Apt.,Private Room,Ben,2019-06-22,50,"Brooklyn, Williamsburg",2019,June
18735631,"Charming 1 Bedroom Apartment in Bushwick, Brooklyn",Entire Home/Apt,Carol,2019-05-07,184,"Brooklyn, Bushwick",2019,May
18736436,Garden Apartment of Eden,Entire Home/Apt,Robert,2019-06-14,99,"Brooklyn, Bedford-Stuyvesant",2019,June
18736455,Lexington Av. Zen Garden Apartment,Entire Home/Apt,Ori & Juanjo,2019-07-07,137,"Brooklyn, Bedford-Stuyvesant",2019,July
18736484,Minutes from JFK airport and famous mall,Private Room,Hannah,2019-03-25,49,"Queens, Rosedale",2019,March
18737053,"Private, cute, and cozy studio close to the subway",Private Room,Jose,2019-06-01,39,"Queens, Ozone Park",2019,June
18737220,Artists studio,Entire Home/Apt,Irina,2019-06-14,59,"Brooklyn, Kensington",2019,June
18737235,Brooklyn Garden Apartment,Entire Home/Apt,Julio,2019-05-28,229,"Brooklyn, Clinton Hill",2019,May
18738138,Huge room with private bathroom in East Harlem!,Private Room,Simon,2019-06-21,125,"Manhattan, East Harlem",2019,June
18745141,Comfy Private Bedroom,Private Room,Shahana,2019-06-14,39,"Brooklyn, Crown Heights",2019,June
18750505,Nicely Appointed Studio with Alcove for Bed,Entire Home/Apt,Ashley,2019-05-29,120,"Manhattan, East Harlem",2019,May
18751687,Private room with private bathroom,Private Room,Salah,2019-03-24,100,"Brooklyn, Williamsburg",2019,March
18752307,The Regal Crash Suite,Entire Home/Apt,King,2019-05-22,195,"Manhattan, Harlem",2019,May
18753645,Beautiful Brooklyn Apartment! Newly Renovated!,Entire Home/Apt,Carla,2019-06-27,150,"Brooklyn, Prospect Heights",2019,June
18755777,Nice and fully furnished room in Staten Island,Private Room,Ely,2019-05-27,40,"Staten Island, Port Richmond",2019,May
18758370,Genie's Lamp Garden Apartment,Entire Home/Apt,Tracy,2019-02-23,150,"Brooklyn, South Slope",2019,February
18763188,Luxe Penthouse with Terrace/Upper West Side,Entire Home/Apt,Terry,2019-06-22,295,"Manhattan, Upper West Side",2019,June
18766576,Nicer than average - on best block in Wash.Heights,Private Room,Allison,2019-06-23,50,"Manhattan, Washington Heights",2019,June
18767695,Two bedroom apartment for rent in Brooklyn,Entire Home/Apt,Cheryl,2019-06-21,80,"Brooklyn, Prospect-Lefferts Gardens",2019,June
18767961,Spacious and Sunny Private Bedroom in Dumbo,Private Room,Allie,2019-06-01,80,"Brooklyn, Vinegar Hill",2019,June
18770418,LARGE 3 BEDROOMS UP  9 People 15 MIN TO MANHATTAN,Entire Home/Apt,David,2019-03-31,238,"Queens, Forest Hills",2019,March
18771633,"4 twin bunkbeds, 5 minutes to JFK",Private Room,John And Colleen,2019-02-05,100,"Queens, Springfield Gardens",2019,February
18772198,Clean Cozy & Comfy Apartment In NYC!,Entire Home/Apt,Ben,2019-06-09,265,"Manhattan, Gramercy",2019,June
18776908,Luminous studio in Union Square,Entire Home/Apt,Margot,2019-06-23,160,"Manhattan, East Village",2019,June
18778024,Modern Bright Bedroom 30 seconds to Subway!,Private Room,Lana,2019-06-23,100,"Queens, Long Island City",2019,June
18783614,Oversized sun drenched loft in trendy Williamsburg,Entire Home/Apt,Marie-Astrid,2019-06-08,250,"Brooklyn, Williamsburg",2019,June
18785035,"Giant bedroom in Carroll Gardens, Brooklyn",Private Room,Elsa,2019-04-23,77,"Brooklyn, Carroll Gardens",2019,April
18785349,12 Min to Manhattan! Spacious APT in Brooklyn,Entire Home/Apt,Jason & Mary,2019-01-03,180,"Brooklyn, Bushwick",2019,January
18787858,Fabulous studio in midtown Manhattan,Entire Home/Apt,Stanley,2019-05-16,150,"Manhattan, Murray Hill",2019,May
18787950,Sun-drenched Apt in 1820's Style Home,Entire Home/Apt,Vanessa,2019-01-02,150,"Brooklyn, Crown Heights",2019,January
18789373,Whole apartment in Williamsburg 1 block to train,Entire Home/Apt,Fanny,2019-05-15,165,"Brooklyn, Williamsburg",2019,May
18789421,Peace in Brooklyn,Entire Home/Apt,Edmund,2019-07-02,125,"Brooklyn, Bedford-Stuyvesant",2019,July
18790004,Large 1 bed w/big kitchen & exposed brick,Entire Home/Apt,Vincent,2019-01-06,150,"Manhattan, East Village",2019,January
18791570,Small but cozy room near Park and Subway,Private Room,Zachary,2019-06-20,53,"Brooklyn, South Slope",2019,June
18793633,Beautiful 1 Bed near Washington Square Park!!,Entire Home/Apt,Lauren,2019-07-07,299,"Manhattan, Greenwich Village",2019,July
18794243,Brooklyn Room Close to Manhattan,Private Room,Malachi,2019-04-20,55,"Brooklyn, Bushwick",2019,April
18794680,HUGE ROOM -- BEST PRICE,Private Room,Diana,2019-05-24,65,"Brooklyn, Bushwick",2019,May
18795229,Ground Floor Studio,Entire Home/Apt,Joe Berat,2019-06-23,70,"Queens, Rego Park",2019,June
18795447,Large Private Room in Heart of Diversity.,Private Room,Ikello,2019-06-30,55,"Bronx, Mount Eden",2019,June
18803064,Once Upon Avant-garde Bushwick,Private Room,Steven,2019-06-24,63,"Brooklyn, Bushwick",2019,June
18806323,"Seaside Nest
#SeasideNestNYC",Entire Home/Apt,Robert,2019-06-30,250,"Queens, Arverne",2019,June
18809063,Lovely apartment in Brooklyn,Entire Home/Apt,Karen,2019-06-21,85,"Brooklyn, Crown Heights",2019,June
18812153,Luxurious studio near NYU Hospital,Entire Home/Apt,Stanley,2019-02-06,150,"Manhattan, Murray Hill",2019,February
18812330,A Guest Room in a Bushwick Artist/Musician's Loft,Shared Room,Dave,2019-06-22,64,"Brooklyn, Williamsburg",2019,June
18813227,"★Comfy Bedroom in Convenient, awesome location!★",Private Room,Jean Paul,2019-06-16,31,"Brooklyn, Flatbush",2019,June
18822775,2 Rooms+Private Bath in Large Colonial House,Private Room,James,2019-07-02,90,"Brooklyn, Flatbush",2019,July
